"id","herbarium_id","archive_filename","specimen_id","width","height","archive_file_size","jp2file_size","finalized","created_at","jp2filename","message"
"22445","1","prc_469614.tif","469614","9475","13421","381555832","13439446","1","2024-07-08 14:56:41","prc_469614.jp2",NULL
"22446","1","prc_469615.tif","469615","9475","13421","381555832","16044834","1","2024-07-08 14:56:41","prc_469615.jp2",NULL
"22447","1","prc_469616.tif","469616","9475","13421","381555832","15640047","1","2024-07-08 14:56:41","prc_469616.jp2",NULL
"22448","1","prc_469617.tif","469617","9283","13229","368477840","5184775","1","2024-07-08 14:56:41","prc_469617.jp2",NULL
"22449","1","prc_469618.tif","469618","9283","13229","368477840","5768763","1","2024-07-08 14:56:41","prc_469618.jp2",NULL
"22450","1","prc_469619.tif","469619","9283","13229","368477840","7477135","1","2024-07-08 14:56:41","prc_469619.jp2",NULL
"22451","1","prc_469620.tif","469620","9283","13229","368477840","5757535","1","2024-07-08 14:56:41","prc_469620.jp2",NULL
"22452","1","prc_469621.tif","469621","9283","13229","368477840","6589918","1","2024-07-08 14:56:41","prc_469621.jp2",NULL
"22453","1","prc_469622.tif","469622","9283","13229","368477840","8457976","1","2024-07-08 14:56:41","prc_469622.jp2",NULL
"22454","1","prc_469623.tif","469623","9283","13229","368477840","8538421","1","2024-07-08 14:56:41","prc_469623.jp2",NULL
"22455","1","prc_469624.tif","469624","9283","13229","368477840","8570035","1","2024-07-08 14:56:41","prc_469624.jp2",NULL
"22456","1","prc_469625.tif","469625","9283","13229","368477840","12214882","1","2024-07-08 14:56:41","prc_469625.jp2",NULL
"22457","1","prc_469626.tif","469626","9283","13229","368477840","5031322","1","2024-07-08 14:56:41","prc_469626.jp2",NULL
"22458","1","prc_469627.tif","469627","9283","13229","368477840","4950227","1","2024-07-08 14:56:41","prc_469627.jp2",NULL
"22459","1","prc_469628.tif","469628","9283","13229","368477840","4221403","1","2024-07-08 14:56:41","prc_469628.jp2",NULL
"22460","1","prc_469629.tif","469629","9283","13229","368477840","5064515","1","2024-07-08 14:56:41","prc_469629.jp2",NULL
"22461","1","prc_469630.tif","469630","9283","13229","368477840","11438957","1","2024-07-08 14:56:41","prc_469630.jp2",NULL
"22462","1","prc_469631.tif","469631","9443","13613","385252368","8035614","1","2024-07-08 14:56:41","prc_469631.jp2",NULL
"22463","1","prc_469632.tif","469632","9443","13629","385252368","13604509","1","2024-07-08 14:56:41","prc_469632.jp2",NULL
"22464","1","prc_469633.tif","469633","9443","13549","385252368","8074861","1","2024-07-08 14:56:41","prc_469633.jp2",NULL
"22465","1","prc_469634.tif","469634","9443","13645","385252368","8684194","1","2024-07-08 14:56:41","prc_469634.jp2",NULL
"22466","1","prc_469635.tif","469635","9443","13613","385252368","8276930","1","2024-07-08 14:56:41","prc_469635.jp2",NULL
"22467","1","prc_469636.tif","469636","9443","13613","385252368","12871149","1","2024-07-08 14:56:41","prc_469636.jp2",NULL
"22468","1","prc_469637.tif","469637","9443","13597","386158896","13045908","1","2024-07-08 14:56:41","prc_469637.jp2",NULL
"22469","1","prc_469637a.tif","469637","9443","13581","385705632","12693382","1","2024-07-08 14:56:41","prc_469637a.jp2",NULL
"22470","1","prc_469638.tif","469638","9443","13661","386158896","10620282","1","2024-07-08 14:56:41","prc_469638.jp2",NULL
"22471","1","prc_469639.tif","469639","9443","13597","386158896","14916159","1","2024-07-08 14:56:41","prc_469639.jp2",NULL
"22472","1","prc_469640.tif","469640","9155","12942","355515904","8137387","1","2024-07-08 14:56:41","prc_469640.jp2",NULL
"22473","1","prc_469641.tif","469641","9155","12942","355515904","9957299","1","2024-07-08 14:56:41","prc_469641.jp2",NULL
"22474","1","prc_469642.tif","469642","9491","13373","380833816","5606641","1","2024-07-08 14:56:41","prc_469642.jp2",NULL
"22475","1","prc_469643.tif","469643","9491","13373","380833816","7898526","1","2024-07-08 14:56:41","prc_469643.jp2",NULL
"22476","1","prc_469644.tif","469644","9491","13373","380833816","6913870","1","2024-07-08 14:56:41","prc_469644.jp2",NULL
"22477","1","prc_469645.tif","469645","9491","13373","380833816","4983084","1","2024-07-08 14:56:41","prc_469645.jp2",NULL
"22478","1","prc_469646.tif","469646","9491","13373","380833816","7174816","1","2024-07-08 14:56:41","prc_469646.jp2",NULL
"22479","1","prc_469647.tif","469647","9491","13373","380833816","5922812","1","2024-07-08 14:56:41","prc_469647.jp2",NULL
"22480","1","prc_469648.tif","469648","9491","13373","380833816","5954714","1","2024-07-08 14:56:41","prc_469648.jp2",NULL
"22481","1","prc_469649.tif","469649","9491","13373","380833816","12934785","1","2024-07-08 14:56:41","prc_469649.jp2",NULL
"22482","1","prc_469650.tif","469650","9491","13373","380833816","5701604","1","2024-07-08 14:56:41","prc_469650.jp2",NULL
"22483","1","prc_469651.tif","469651","9491","13373","380833816","5895745","1","2024-07-08 14:56:41","prc_469651.jp2",NULL
"22484","1","prc_469652.tif","469652","9491","13373","380833816","10095583","1","2024-07-08 14:56:41","prc_469652.jp2",NULL
"22485","1","prc_469653.tif","469653","9491","13373","380833816","7116032","1","2024-07-08 14:56:41","prc_469653.jp2",NULL
"22486","1","prc_469654.tif","469654","9491","13373","380833816","5738773","1","2024-07-08 14:56:41","prc_469654.jp2",NULL
"22487","1","prc_469655.tif","469655","9491","13373","380833816","7602042","1","2024-07-08 14:56:41","prc_469655.jp2",NULL
"22488","1","prc_469656.tif","469656","9491","13373","380833816","7184742","1","2024-07-08 14:56:41","prc_469656.jp2",NULL
"22489","1","prc_469657.tif","469657","9491","13373","380833816","6326372","1","2024-07-08 14:56:41","prc_469657.jp2",NULL
